
####################################################################
# 			       TL-WR841N  System Log 
# Time = 2017-04-10 23:26:21 11748s
# H-Ver = WR841N v9 00000000 : S-Ver = 3.14.4 Build 140122 Rel.61200n 
# L = 192.168.1.1 : M = 255.255.255.0
# W1 = DHCP : W = 192.168.0.10 : M = 255.255.255.0 : G = 192.168.0.1
####################################################################

May 10 20:11:03	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.106
May 10 20:11:06	 DHCP      	INFO   	DHCPC perform a DHCP renew
May 10 20:11:06	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 0
May 10 20:11:08	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 0
May 10 20:11:10	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 0
May 10 20:11:13	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 20:11:14	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 1
May 10 20:11:14	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.107
May 10 20:11:16	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 1
May 10 20:11:18	 DHCP      	INFO   	DHCPC DHCP Service unavailable, recv no OFFER
May 10 20:11:25	 DHCP      	INFO   	DHCPC Entering released state
May 10 20:11:27	 DHCP      	INFO   	DHCPC perform a DHCP renew
May 10 20:11:27	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 0
May 10 20:11:29	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 0
May 10 20:11:31	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 0
May 10 20:11:35	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 1
May 10 20:11:37	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 1
May 10 20:11:39	 DHCP      	INFO   	DHCPC DHCP Service unavailable, recv no OFFER
May 10 20:12:06	 DHCP      	INFO   	DHCPS:Recv DISCOVER from 5C:8D:4E:0F:77:81
May 10 20:12:07	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.100
May 10 20:12:08	 DHCP      	INFO   	DHCPS:Recv REQUEST from 5C:8D:4E:0F:77:81
May 10 20:12:08	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.100
May 10 20:12:16	 DHCP      	INFO   	DHCPS:Recv REQUEST from 5C:8D:4E:0F:77:81
May 10 20:12:16	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.100
May 10 20:12:19	 DHCP      	INFO   	DHCPC Send DISCOVER with request ip C0A8000A and unicast flag 0
May 10 20:12:19	 DHCP      	INFO   	DHCPC Recv OFFER from server c0a80001 with ip c0a8000a
May 10 20:12:19	 DHCP      	INFO   	DHCPC Send REQUEST to server c0a80001 with request ip c0a8000a
May 10 20:12:21	 DHCP      	INFO   	DHCPC Recv ACK from server c0a80001 with ip c0a8000a lease time 3600
May 10 20:12:21	 DHCP      	INFO   	DHCPC:GET ip:c0a8000a mask:ffffff00 gateway:c0a80001 dns1:bd077814 dns2:bd077810 static route:0
May 10 20:12:21	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
May 10 20:15:30	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EA:08:6B:D2:0D:16
May 10 20:15:31	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
May 10 20:15:32	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 20:15:32	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 20:18:42	 DHCP      	INFO   	DHCPS:Recv REQUEST from E4:8B:7F:78:8D:9E
May 10 20:18:43	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.103
May 10 20:18:43	 DHCP      	INFO   	DHCPS:Recv REQUEST from E4:8B:7F:78:8D:9E
May 10 20:18:43	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.103
May 10 20:19:18	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EA:08:6B:D2:0D:16
May 10 20:19:18	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
May 10 20:19:26	 DHCP      	INFO   	DHCPS:Recv REQUEST from EA:08:6B:D2:0D:16
May 10 20:19:26	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.101
May 10 20:20:02	 DHCP      	INFO   	DHCPS:Recv DISCOVER from 00:B3:62:15:ED:55
May 10 20:20:03	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.102
May 10 20:20:04	 DHCP      	INFO   	DHCPS:Recv REQUEST from 00:B3:62:15:ED:55
May 10 20:20:04	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.102
May 10 20:20:59	 DHCP      	INFO   	DHCPS:Recv REQUEST from 00:B3:62:15:ED:55
May 10 20:20:59	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.102
May 10 20:23:21	 DHCP      	INFO   	DHCPS:Recv REQUEST from 00:B3:62:15:ED:55
May 10 20:23:21	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.102
May 10 20:25:33	 DHCP      	INFO   	DHCPS:Recv REQUEST from 00:B3:62:15:ED:55
May 10 20:25:33	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.102
May 10 20:29:07	 DHCP      	INFO   	DHCPS:Recv REQUEST from E4:8B:7F:78:8D:9E
May 10 20:29:07	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.103
May 10 20:39:01	 DHCP      	INFO   	DHCPS:Recv REQUEST from E4:8B:7F:78:8D:9E
May 10 20:39:01	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.103
May 10 20:39:47	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 20:39:47	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.107
May 10 20:40:13	 DHCP      	INFO   	DHCPS:Recv REQUEST from 00:B3:62:15:ED:55
May 10 20:40:13	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.102
May 10 20:40:32	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EA:08:6B:D2:0D:16
May 10 20:40:32	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.101
